gene,polarization_score
SNAPC3,-23.883199523497094
FANCB,-23.87851097019403
LCMT1,-23.87521865697208
SLC11A2,-23.85117553329128
PPP1R2,-23.84559035563768
BCAP29,23.83958251190101
CCR6,23.83910378929422
LTAP1,23.82480701629828
ANKMY2,-23.81481913722081
MVB12B,-23.790927513205965
DEGS1,-23.78265241619713
EIF1AD,23.762042485734447
H2AC17,-23.692931680959667
DUSP2,23.684175390304652
TP73,23.683792873321213
ACVR1,-23.68044603533131
LBH,-23.646976563542417
CCDC124,-23.6464394004902
TARDBP,23.618291308908056
API5,23.614209368418887
CIRSR,23.603498628599073
ZNF98,-23.599981899917335
EOLA1,23.590154863277338
TMEM186,23.53488236164854
PMPCB,-23.523603286792593
CNTROB,-23.51098510456599
VPS8,-23.5006612384817
PCGF3,23.462404759818135
ANKRD49,-23.423468811905853
NAALADL1,-23.41494418691785
GRAMD1A,-23.410580893023752
GNB1,-23.41004145653463
TADA1,-23.386760304499028
IGFBP4,23.37009366797955
DDX6,-23.340704926876985
FN3K,23.321637138256044
AKR1C1,-23.317852526704407
ATP2B1,23.306045955406272
GZMK,23.288920602670483
SLC35A1,23.283114593884854
SLX4,23.27824932089648
GANAB,23.27721125053897
ZNF14,-23.263374585227506
GPR63,-23.26327701034323
CATSPERG,23.259188525972537
LAMTOR1,23.24494650598517
BPNT2,-23.23028724283709
ZSWIM4,-23.21676483023992
AGBL5,23.214804671511242
ASAP2,23.213358572915652
NKTR,23.204467725189968
ZNF286B,23.185226264365575
WDFY1,-23.180010299162912
PPP2R3C,-23.169641328479475
TMEM230,23.157398114907963
NDUFS2,23.084446039655898
TUBB4B,23.072488037241143
TMEM79,-23.06682628608698
EIF3K,23.063331397184225
IFNAR1,23.05077304697249
NECAP2,-23.03804993957415
SGK3,-23.024673819050054
MAU2,23.02274673796103
CACHD1,-23.014883423019928
ALG6,22.99483151010402
CD3E,22.990570279895106
TIAL1,-22.96731071988959
NHERF2,-22.961923853802332
RNF19B,-22.95452811376252
NAPG,22.950420437769694
RCOR3,22.939476724512005
WNK1,22.929477298213353
NDUFV2,22.916550373530658
DCUN1D2,-22.915311243253882
VPS39,22.898675847907878
URB2,-22.88861766120664
PREX1,22.882119067866522
PHLPP2,-22.882098309249418
CDC37L1,-22.87336738309406
BRK1,22.866679485809552
CHN2,-22.846846734544503
LACTB,-22.840418005527376
AKR1A1,22.840062987044693
UBE2F,-22.831356317636068
PAX6,-22.785133263315988
NRBP1,22.780245799607933
ANKRD61,22.774490499471337
RANBP3,22.767994110232397
CD244,-22.75002043089408
CCDC69,22.736654881619607
XIAP,-22.732930381829345
ZNF566,-22.712391822638185
DNAJC4,22.712124494142326
NAIF1,-22.68095390580807
HOXC10,22.675552895652906
EID2B,-22.67271199018926
CTTN,22.65485974752531
COX19,-22.61435438755811
ZC3H3,22.60752989017428
MRPL58,22.60108821389033
TMEM138,-22.597764248908934
BCL2L13,22.578497586602722
CYB561D2,-22.566386736861425
USP15,-22.5350213796348
SLC39A7,-22.512871272283082
GFI1,22.503916226878435
NPDC1,-22.500102650350076
SLC25A10,-22.483437005904037
CBX3,-22.449380780015996
STAG2,22.447191392544205
HMGN5,-22.442782681610925
COA7,-22.428123380852902
