gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
MYC,0.32383713126182556,AHR,False,422,Stim8hr
SAMD4B,0.3230222761631012,AHR,False,49,Stim8hr
SLC19A2,0.32218778133392334,CD3E,False,38,Stim8hr
MAP2K3,0.32218220829963684,CD3D,False,30,Stim8hr
CAMK1,0.3218468427658081,CD3G,False,120,Stim8hr
PIGB,0.32129740715026855,CD3G,False,234,Stim8hr
RHEB,0.3212098777294159,CD3E,False,528,Stim8hr
H2BC9,0.32106292247772217,AHR,False,50,Stim8hr
UQCRQ,0.32077476382255554,IMPDH2,False,224,Stim8hr
PDSS1,0.32073110342025757,IMPDH2,False,302,Stim8hr
JADE2,0.3202669620513916,CD3E,False,119,Stim8hr
PDE12,0.3202320337295532,CD3E,False,66,Stim8hr
WRN,0.32017120718955994,SLAMF7,False,125,Stim8hr
QPCTL,0.31993094086647034,CD3E,False,68,Stim8hr
NUDT16L1,0.3198455274105072,ITK,False,48,Stim8hr
SORL1,0.31958457827568054,BRD4,False,112,Stim8hr
RCOR1,0.31950876116752625,LCK,False,254,Stim8hr
ARPC3,0.319455623626709,CD3E,False,556,Stim8hr
FAM98A,0.31921806931495667,CD2,False,116,Stim8hr
ALG6,0.31890180706977844,CD3E,False,257,Stim8hr
COX17,0.3183983862400055,IMPDH2,False,148,Stim8hr
MINPP1,0.31792181730270386,CD3G,False,52,Stim8hr
RPE,0.31758561730384827,LCK,False,195,Stim8hr
CTTN,0.31758421659469604,NDUFS2,False,107,Stim8hr
PAFAH1B2,0.31750431656837463,CD3E,False,47,Stim8hr
LRP5,0.3173222243785858,ITK,False,59,Stim8hr
EIF4G1,0.316508948802948,IMPDH2,False,1015,Stim8hr
CASP6,0.3164137601852417,LCK,False,53,Stim8hr
SGF29,0.3162541389465332,CD274,False,2447,Stim8hr
ALG9,0.31622791290283203,CD3E,False,78,Stim8hr
TAF13,0.3161919116973877,CCR5,False,1967,Stim8hr
LIG1,0.3154708445072174,IMPDH2,False,468,Stim8hr
TTYH3,0.31532666087150574,CD3G,False,132,Stim8hr
ZNF142,0.31518086791038513,IMPDH2,False,375,Stim8hr
LETM2,0.3150637149810791,CD3E,False,163,Stim8hr
DIS3,0.3144320249557495,HDAC8,False,329,Stim8hr
TEFM,0.3143880069255829,IMPDH2,False,159,Stim8hr
SHLD1,0.3142566978931427,AHR,False,367,Stim8hr
PKN1,0.3141203820705414,CD3E,False,83,Stim8hr
KLHL20,0.31371837854385376,LCK,False,49,Stim8hr
COPS9,0.3132457435131073,ITK,False,125,Stim8hr
TIMM8B,0.31319722533226013,IMPDH2,False,282,Stim8hr
MPI,0.31314897537231445,CD3E,False,1296,Stim8hr
LARS2,0.31299710273742676,IMPDH2,False,503,Stim8hr
ABI3,0.31290435791015625,AHR,False,175,Stim8hr
CCDC69,0.31265610456466675,CD3E,False,70,Stim8hr
XPR1,0.312343031167984,ITK,False,495,Stim8hr
COX15,0.31229475140571594,PPARA,False,191,Stim8hr
SLC35C1,0.31224456429481506,PRKCA,False,85,Stim8hr
RREB1,0.31224140524864197,CD274,False,138,Stim8hr
LMTK2,0.311663955450058,HDAC8,False,407,Stim8hr
KIAA1143,0.31146255135536194,CD3E,False,33,Stim8hr
ADAT2,0.31136658787727356,PARP2,False,409,Stim8hr
STRIP2,0.3113568127155304,CD3E,False,15,Stim8hr
APOBEC3B,0.31075936555862427,AHR,False,225,Stim8hr
HOMEZ,0.31075549125671387,LCK,False,38,Stim8hr
UQCRC2,0.3106808066368103,IMPDH2,False,214,Stim8hr
SLC31A1,0.3106221556663513,IMPDH2,False,547,Stim8hr
CKAP4,0.3102368414402008,CCR4,False,100,Stim8hr
DNAJC2,0.310085654258728,PARP2,False,491,Stim8hr
MED23,0.30997830629348755,LCK,False,604,Stim8hr
PTPRA,0.3096833825111389,CD3E,False,73,Stim8hr
RIPK1,0.30960536003112793,AHR,False,247,Stim8hr
BMF,0.30948159098625183,AHR,False,56,Stim8hr
MTERF2,0.3086516857147217,CCR4,False,126,Stim8hr
PGK1,0.3084706664085388,LCK,False,401,Stim8hr
BCL9,0.3084416389465332,CD2,False,55,Stim8hr
METTL1,0.30826541781425476,PARP2,False,617,Stim8hr
EDC3,0.308027058839798,CD3E,False,482,Stim8hr
DZIP1,0.3079289197921753,CD3D,False,192,Stim8hr
DNASE2,0.30730292201042175,PRKCA,False,73,Stim8hr
PCBP2,0.3071649670600891,EZH2,False,432,Stim8hr
