Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
TUBB4A,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 8 binding agent,BRENTUXIMAB VEDOTIN; POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; diffuse scleroderma; follicular lymphoma; graft versus host disease; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; systemic lupus erythematosus; systemic mastocytosis; systemic sclerosis,2,17,immune system disorder,APPROVAL,1
TUBA1A,INHIBITOR,Tubulin inhibitor,COLCHICINE; DOCETAXEL; IXABEPILONE; PACLITAXEL; VINBLASTINE; VINBLASTINE SULFATE; VINCRISTINE; VINCRISTINE SULFATE; VINORELBINE,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Hashimoto thyroiditis; Langerhans cell histiocytosis; MALT lymphoma; Postpericardiotomy Syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; autoimmune thyroid disease; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; familial Mediterranean fever; follicular lymphoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; metastatic malignant neoplasm in the lymph nodes; mixed phenotype acute leukemia; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis; psoriasis vulgaris; reticulum cell sarcoma; rheumatoid arthritis; thymic carcinoma; thymic epithelial neoplasm; thymoma; tonsil carcinoma; type 1 diabetes mellitus",9,55,immune system disorder,APPROVAL,1
TUBA1A,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 17 binding agent; Tubulin inhibitor,BELANTAMAB MAFODOTIN; TRASTUZUMAB EMTANSINE,plasma cell myeloma; smoldering plasma cell myeloma,2,2,immune system disorder,APPROVAL,1
TUBA1A,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 8 binding agent,BRENTUXIMAB VEDOTIN; POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; diffuse scleroderma; follicular lymphoma; graft versus host disease; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; systemic lupus erythematosus; systemic mastocytosis; systemic sclerosis,2,17,immune system disorder,APPROVAL,1
RBX1,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor,POMALIDOMIDE; THALIDOMIDE,"B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Crohn disease; HIV wasting syndrome; Langerhans cell histiocytosis; MALT lymphoma; POEMS syndrome; Sjogren syndrome; T-cell large granular lymphocyte leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; ankylosing spondylitis; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; discoid lupus erythematosus; essential thrombocythemia; follicular lymphoma; graft versus host disease; idiopathic multicentric Castleman disease; immune system disorder; inflammatory bowel disease; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; plasma cell leukemia; plasma cell myeloma; primary central nervous system lymphoma; primary myelofibrosis; proctitis; psoriasis; smoldering plasma cell myeloma; systemic mastocytosis; systemic sclerosis; ulcerative colitis",2,48,immune system disorder,APPROVAL,1
RBX1,MODULATOR; INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase modulator; CRL4(CRBN) E3 ubiquitin ligase inhibitor,LENALIDOMIDE,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Erdheim-Chester disease; Langerhans cell histiocytosis; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; Waldenstrom macroglobulinemia; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; adult T-cell leukemia/lymphoma; chronic myelomonocytic leukemia; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; hemophagocytic syndrome; high grade B-cell lymphoma; immune system disorder; immunoglobulin G4-related sclerosing disease; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; myelofibrosis; neoplasm of mature B-cells; neutropenia; nodal marginal zone B-cell lymphoma; plasma cell leukemia; plasma cell myeloma; plasmacytoma; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; sinus histiocytosis with massive lymphadenopathy; smoldering plasma cell myeloma; splenic marginal zone lymphoma; systemic lupus erythematosus,1,42,immune system disorder,APPROVAL,1
ATP1A1,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor,DIGOXIN,acute myeloid leukemia; rheumatoid arthritis,1,2,immune system disorder,APPROVAL,1
HCK,INHIBITOR,Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor; Tyrosine-protein kinase HCK inhibitor; Tyrosine-protein kinase Lyn inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase ABL inhibitor,BOSUTINIB; DASATINIB ANHYDROUS,"B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute myeloid leukemia; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia, BCR-ABL1 positive; diffuse large B-cell lymphoma; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; systemic mastocytosis",2,14,immune system disorder,APPROVAL,1
TNFSF13B,INHIBITOR,Tumor necrosis factor ligand superfamily member 13B inhibitor,BELIMUMAB,B-cell chronic lymphocytic leukemia; Sjogren syndrome; Waldenstrom macroglobulinemia; autoimmune hepatitis; autoimmune polyendocrinopathy; autoimmune thrombocytopenic purpura; chronic graft versus host disease; granulomatosis with polyangiitis; hypersensitivity reaction disease; lymphopenia; multiple sclerosis; myasthenia gravis; rheumatoid arthritis; systemic lupus erythematosus; systemic sclerosis,1,15,immune system disorder,APPROVAL,1
PDE4C,INHIBITOR,"3',5'-cyclic phosphodiesterase inhibitor; Equilibrative nucleoside transporter 1 inhibitor; Phosphodiesterase 10A inhibitor; Phosphodiesterase 3A inhibitor; Phosphodiesterase 4 inhibitor; Phosphodiesterase 5A inhibitor; Phosphodiesterase 3 inhibitor; Phosphodiesterase 4 inhibitor; Phosphodiesterase 4 inhibitor",APREMILAST; CRISABOROLE; DIPYRIDAMOLE; ENSIFENTRINE; IBUDILAST; ROFLUMILAST,B-cell chronic lymphocytic leukemia; Castleman disease; Waldenstrom macroglobulinemia; allergic asthma; allergic contact dermatitis; allergic rhinitis; ankylosing spondylitis; atopic eczema; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; discoid lupus erythematosus; follicular lymphoma; immune system disorder; localized scleroderma; mantle cell lymphoma; multiple sclerosis; palmoplantar pustulosis; plasma cell myeloma; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; rheumatoid arthritis; ulcerative colitis; vitiligo,6,25,immune system disorder,APPROVAL,1
PDE4C,ANTAGONIST; INHIBITOR,"Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor; Adenosine receptor antagonist; Phosphodiesterase 3 inhibitor; Phosphodiesterase 4 inhibitor",AMINOPHYLLINE; PENTOXIFYLLINE,AIDS; B-cell chronic lymphocytic leukemia; inflammatory bowel disease; lymphedema; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis,2,7,immune system disorder,APPROVAL,1
PDE4C,INHIBITOR; ANTAGONIST,Phosphodiesterase 4 inhibitor; Adenosine receptor antagonist; Phosphodiesterase 3 inhibitor,THEOPHYLLINE,B-cell chronic lymphocytic leukemia; allergic rhinitis,1,2,immune system disorder,APPROVAL,1
TUBB2B,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 17 binding agent; Tubulin inhibitor,BELANTAMAB MAFODOTIN; TRASTUZUMAB EMTANSINE,plasma cell myeloma; smoldering plasma cell myeloma,2,2,immune system disorder,APPROVAL,1
TUBB2B,INHIBITOR,Tubulin inhibitor,COLCHICINE; DOCETAXEL; IXABEPILONE; PACLITAXEL; VINBLASTINE; VINBLASTINE SULFATE; VINCRISTINE; VINCRISTINE SULFATE; VINORELBINE,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Hashimoto thyroiditis; Langerhans cell histiocytosis; MALT lymphoma; Postpericardiotomy Syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; autoimmune thyroid disease; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; familial Mediterranean fever; follicular lymphoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; metastatic malignant neoplasm in the lymph nodes; mixed phenotype acute leukemia; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis; psoriasis vulgaris; reticulum cell sarcoma; rheumatoid arthritis; thymic carcinoma; thymic epithelial neoplasm; thymoma; tonsil carcinoma; type 1 diabetes mellitus",9,55,immune system disorder,APPROVAL,1
TUBB2B,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 8 binding agent,BRENTUXIMAB VEDOTIN; POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; diffuse scleroderma; follicular lymphoma; graft versus host disease; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; systemic lupus erythematosus; systemic mastocytosis; systemic sclerosis,2,17,immune system disorder,APPROVAL,1
KCNA3,BLOCKER,Voltage-gated potassium channel blocker,AMIFAMPRIDINE; AMIFAMPRIDINE PHOSPHATE; DALFAMPRIDINE; GUANIDINE HYDROCHLORIDE,Guillain-Barre syndrome; autoimmune disease; autoimmune disorder of the nervous system; immune system disorder; multiple sclerosis; myasthenia gravis,4,6,immune system disorder,APPROVAL,1
PSMB5,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
TUBB3,INHIBITOR,Tubulin inhibitor,COLCHICINE; DOCETAXEL; IXABEPILONE; PACLITAXEL; VINBLASTINE; VINBLASTINE SULFATE; VINCRISTINE; VINCRISTINE SULFATE; VINORELBINE,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Hashimoto thyroiditis; Langerhans cell histiocytosis; MALT lymphoma; Postpericardiotomy Syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; autoimmune thyroid disease; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; familial Mediterranean fever; follicular lymphoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; metastatic malignant neoplasm in the lymph nodes; mixed phenotype acute leukemia; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis; psoriasis vulgaris; reticulum cell sarcoma; rheumatoid arthritis; thymic carcinoma; thymic epithelial neoplasm; thymoma; tonsil carcinoma; type 1 diabetes mellitus",9,55,immune system disorder,APPROVAL,1
TUBB3,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 17 binding agent; Tubulin inhibitor,BELANTAMAB MAFODOTIN; TRASTUZUMAB EMTANSINE,plasma cell myeloma; smoldering plasma cell myeloma,2,2,immune system disorder,APPROVAL,1
TUBB3,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 8 binding agent,BRENTUXIMAB VEDOTIN; POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; diffuse scleroderma; follicular lymphoma; graft versus host disease; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; systemic lupus erythematosus; systemic mastocytosis; systemic sclerosis,2,17,immune system disorder,APPROVAL,1
PSMB11,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
