gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
TPGS2,0.4796965718269348,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,254,Stim48hr
SHMT1,0.4795406460762024,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,90,Stim48hr
FITM2,0.4787267744541168,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,314,Stim48hr
MRC2,0.4784995317459106,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,803,Stim48hr
DHX30,0.4776241779327392,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,251,Stim48hr
RAC2,0.4776145815849304,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,571,Stim48hr
PDSS2,0.4768538475036621,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,837,Stim48hr
PARL,0.4767733514308929,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,240,Stim48hr
NDUFB4,0.4757866859436035,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,True,234,Stim48hr
ATF7IP2,0.4749886989593506,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,815,Stim48hr
GADD45GIP1,0.4742348492145538,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,350,Stim48hr
INSIG1,0.4737582206726074,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,442,Stim48hr
TPRG1L,0.473633199930191,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,105,Stim48hr
MEN1,0.4735836982727051,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,1271,Stim48hr
RMDN3,0.4729814827442169,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,155,Stim48hr
EIF1,0.4718594551086426,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,373,Stim48hr
CSF2,0.4706251323223114,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,141,Stim48hr
MTPAP,0.4684365689754486,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,502,Stim48hr
POLG2,0.4683035910129547,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,417,Stim48hr
ITPRIPL2,0.4667981564998626,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,88,Stim48hr
DOCK2,0.4663096964359283,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,432,Stim48hr
CMTM6,0.4662931561470032,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,73,Stim48hr
NIPSNAP1,0.4662203788757324,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,62,Stim48hr
AHSA1,0.4645072519779205,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,91,Stim48hr
AASDH,0.4633180201053619,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,125,Stim48hr
LHPP,0.4631144404411316,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,93,Stim48hr
RTKN2,0.462262213230133,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,165,Stim48hr
SENP1,0.4622619152069092,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,298,Stim48hr
PARS2,0.4621897041797638,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,390,Stim48hr
DEF6,0.4617948830127716,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,154,Stim48hr
CDC25C,0.4614444971084595,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,78,Stim48hr
HACD4,0.4614371955394745,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,70,Stim48hr
NDUFV1,0.4612159132957458,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,124,Stim48hr
NDUFV2,0.4610911905765533,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,100,Stim48hr
MLYCD,0.4605017006397247,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,365,Stim48hr
RIDA,0.4602764248847961,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,402,Stim48hr
MAF,0.4598537981510162,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,166,Stim48hr
