gene,rest_coef_beta,rest_se_beta,rest_signed_log10p,stim8hr_coef_beta,stim8hr_se_beta,stim8hr_signed_log10p,stim48hr_coef_beta,stim48hr_se_beta,stim48hr_signed_log10p
DNAJB2,-0.0020988735178424,0.0095565839694758,-0.0829323451336577,0.0140008621459825,0.0095009260616722,0.8519850444084497,-0.0065338924025105,0.0095575586435679,-0.3060800523082454
DNAJB4,-0.0039363042101039,0.0095491468456349,-0.1673698899704587,-0.0108264884618761,0.00950062090728,-0.5943185812149957,0.0077362138721909,0.0095551272969884,0.3786524743614327
DNAJB5,-0.0107086167335683,0.0095488397397198,-0.5815030415832485,-0.0217281171036199,0.0094946456417202,-1.6550248570341468,-0.0108198943983077,0.0095564442617205,-0.5891021398248174
DNAJB6,-0.0183408090116536,0.0095475177885013,-1.2615560397614387,-0.0023467106332632,0.0094987145670844,-0.0942743569549655,-0.002452206854749,0.0095552192900394,-0.0982882757367314
DNAJB9,-0.0153128959464294,0.009550703435578,-0.963005132976095,0.0096549906257321,0.0095008024953042,0.5092793022403617,-0.0078608180934483,0.0095552118988108,-0.3864627340644144
DNAJC1,0.0012787798823651,0.0095492383514967,0.0489186630028682,0.0037915073256637,0.0094968783741323,0.1613232789206845,-0.0001130168731077,0.0095553644883245,-0.0041177264628084
DNAJC10,-0.0084362426727784,0.0095487273701012,-0.423671259744446,-0.0080666085083231,0.0094983935789818,-0.402573575111772,0.0049429596130898,0.0095554595364224,0.2182710955301154
DNAJC12,-0.0063191175312237,0.0095488275992182,-0.2940222742390475,-0.0074302120767862,0.0094968784237161,-0.3625048289082075,-0.0197320877313528,0.0095553779013554,-1.4095546663352774
DNAJC13,-0.0034666822599905,0.009549803901444,-0.1447208503413299,0.0089925854476746,0.009495862792017,0.4638716865509199,-0.0058476271049172,0.0095568898222967,-0.267097494186742
DNAJC14,0.0146251667220933,0.009548634037267,0.9008790817225976,0.0085973308061469,0.009496270658821,0.4373426467385896,0.001471006678393,0.0095558202337417,0.0566730734803546
DNAJC15,-0.0042889192042763,0.0095489469282543,-0.1848662686195957,0.0061041261915794,0.0094962091034383,0.2836878702444408,-0.0076504706267548,0.009555522787255,-0.3732886749611768
DNAJC16,-0.0059706303864384,0.0095489641997571,-0.2742430956787511,-0.0007941630123289,0.0094984133594294,-0.0299470991861502,0.0147456531610054,0.0095542439197562,0.9108997336644252
DNAJC18,-0.0042962164129021,0.0095494331136307,-0.1852217854974857,-0.0062902429469675,0.0094962046183687,-0.2943656972728536,-0.023853827453526,0.0095526803739921,-1.9018161810207528
DNAJC19,0.0037086597914496,0.0095495248631694,0.1562959357952264,0.0021714711628761,0.0094962674866279,0.0866455887544108,0.0072977231536433,0.0095563360317304,0.3515514058424887
DNAJC2,-0.0015959336637479,0.0095488596617841,-0.0618465873150274,-0.016952230593773,0.0094959765966017,-1.1292667399143694,-0.0100789335323473,0.0095557320994941,-0.5352690939032606
DNAJC21,0.0111963291851581,0.009548302853362,0.6180145513320696,0.0120590735584847,0.0094979423988884,0.6898679899046776,-0.0056012695984487,0.0095563043804715,-0.253523007970423
DNAJC24,-0.0081390430230394,0.0095485545692332,-0.4044824265471989,0.0076276669147856,0.0094960726062932,0.3748410057603497,-0.0036947523297498,0.0095557963464399,-0.1555087557843001
DNAJC27,0.0011308670077556,0.0095489870268808,0.0430008774614762,0.0009091644443999,0.0094993853174804,0.0344434498794176,-0.006288290951132,0.0095550670460709,-0.2920203822094528
DNAJC3,-0.0156401336711205,0.0095508738418949,-0.9933524236947054,0.0058218136351789,0.0094974521226898,0.2676885040022764,-0.0128203724073718,0.0095545382693554,-0.7454862172355601
DNAJC30,0.0085423919363456,0.0095503589821789,0.4305126476039337,0.0101046133469733,0.009497092907887,0.5415644178835298,0.0126883467613049,0.009554805957957,0.734660546749468
DNAJC4,0.0045543518772878,0.0095508738661718,0.1982689888998808,5.81628710521146e-05,0.0094973742571421,0.0021272436044147,0.0124589927211983,0.0095554354280474,0.7160037949527398
DNAJC5,-0.0100157585427358,0.0095480870498959,-0.531341965859885,0.0168295537769686,0.0094945042784246,1.1173056695653734,0.004158943243021,0.0095548929610012,0.1782400706029355
DNAJC6,-0.0084443619063468,0.00954861587428,-0.4242068021128285,-0.0167004767878818,0.0094952699550837,-1.1043793019350276,-0.0215285203415325,0.0095535446087779,-1.6152858887139856
DNAJC7,-0.0010922738280703,0.0095504003691123,-0.0414614078951031,0.0037285079031517,0.0094979005291993,0.1582332220391639,-0.014880766899596,0.0095541679761856,-0.9230782837053354
