rank	gene	gene_id	pu_score	label_all	label_immune	label_status	family	gwas_present	perturbseq_measured	polarization_measured	oob_models
281	CHD9	ENSG00000177200	0.925665	0	0	unlabeled	HGNC:1190	1	0	0	99
282	UBAC2	ENSG00000134882	0.925549	0	0	unlabeled	HGNC:926	1	1	0	96
283	SAMD9	ENSG00000205413	0.925399	0	0	unlabeled	HGNC:760	1	1	0	95
284	CARMIL1	ENSG00000079691	0.924882	0	0	unlabeled	PFX:CAR	1	1	1	99
285	AMY1C	ENSG00000187733	0.924842	0	0	unlabeled	HGNC:1648	1	0	0	99
286	SEMA3F	ENSG00000001617	0.924841	0	0	unlabeled	HGNC:594	1	0	0	99
287	ACTC1	ENSG00000159251	0.924504	0	0	unlabeled	HGNC:929	1	0	0	97
288	KCNH5	ENSG00000140015	0.924488	1	1	positive	HGNC:274	1	0	0	0
289	FANCF	ENSG00000183161	0.924431	0	0	unlabeled	HGNC:548	1	1	1	99
290	PRMT8	ENSG00000111218	0.924369	0	0	unlabeled	HGNC:2057	1	0	0	97
291	AMY1A	ENSG00000237763	0.924014	0	0	unlabeled	HGNC:1648	1	0	0	96
292	MYH2	ENSG00000125414	0.923995	0	0	unlabeled	HGNC:1098	1	0	0	96
293	NOD2	ENSG00000167207	0.923884	0	0	unlabeled	HGNC:666	1	1	0	99
294	ACTA1	ENSG00000143632	0.923801	0	0	unlabeled	HGNC:929	1	0	0	98
